"Region","District","District.No.","School.Name","School.No.","NCES.School.No.","Principal","School.Type","Grade.Level","Categories","County","Status","address","Address.1.City","Address.1.State","Address.1.Zipcode","Address.2.Composite","Phone.1","Phone.2","Fax.1","Email.Address","STATEFP","SLDLST","GEOID","GEOIDFQ","NAMELSAD","LSAD","LSY","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"South Central","Lincoln County",520,"Lincoln Central Virtual Academy",97,4.70249e+11,"Christy Wright","Public Virtual School","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","","Lincoln","Active","909 Main Avenue South
 Fayetteville, TN 37334","Fayetteville","TN","37334","","931-433-6156",NA,"931-438-2465","cwright@lcdoe.org","47","062","47062","620L900US47062","State House District 62","LL","2024","G5220","N",2284921585,6639989,"+35.3897957","-086.4758904"
"Southwest","Madison County",570,"Lincoln Elementary School",56,4.70258e+11,"Annie Atkins","Public","P3, P4, PK, K, 1, 2, 3, 4, 5","","Madison","Active","532 Whitehall Street
 Jackson, TN 38301","Jackson","TN","38301","","731-988-3800",NA,"731-988-3801","awatkins@jmcss.org","47","080","47080","620L900US47080","State House District 80","LL","2024","G5220","N",2310259997,5874258,"+35.3105406","-089.0290715"
"First Tennessee","Hamblen County",320,"Lincoln Heights Elementary",18,4.7e+11,"Michelle Green","Public","PK, K, 1, 2, 3, 4, 5","","Hamblen","Active","1523 Dr. Martin Luther King Jr. Parkway
 Morristown, TN 37813","Morristown","TN","37813","","423-586-2062",NA,"423-585-3757","greenm6@hcboe.net","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"East Tennessee","Oak Ridge",12,"Linden Elementary",30,4.70324e+11,"Heather Jenkins","Public","K, 1, 2, 3, 4","","Anderson","Active","700  Robertsville  Road
 Oak Ridge, TN 37830","Oak Ridge","TN","37830","","865-425-5701",NA,"865-425-5713","hfjenkins@ortn.edu","47","033","47033","620L900US47033","State House District 33","LL","2024","G5220","N",508706417,13916912,"+36.0708104","-084.1923973"
"South Central","Perry County",680,"Linden Elementary",15,4.70339e+11,"Blake Moore","Public","PK, K, 1, 2, 3, 4","","Perry","Active","331 Brooklyn Avenue
 Linden, TN 37096","Linden","TN","37096","","931-589-2531",NA,"931-589-2158","bmoore@perrycountyschools.us","47","072","47072","620L900US47072","State House District 72","LL","2024","G5220","N",4520624558,105252386,"+35.4648491","-088.1766854"
"Mid Cumberland","Davidson County Private Schools",9190,"Linden Waldorf School",9308,NA,"Kim Richardson","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency","Davidson","Active","3201 Hillsboro Pike
 Nashville, TN 37215","Nashville","TN","37215","","615-354-0270",NA,"","krichardson@lindenwaldorf.org","47","056","47056","620L900US47056","State House District 56","LL","2024","G5220","N",41781632,0,"+36.1286463","-086.8256819"
"Mid Cumberland","Davidson County Private Schools",9190,"Lipscomb Academy",9035,NA,"Dr. Brad Schultz","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency","Davidson","Active","3901 Granny White Pike
 Nashville, TN 37204-3951","Nashville","TN","37204-3951","3901 Granny White Pike
 Nashville, TN 37204-3951","615-966-6355",NA,"615-966-7633","Brad.Schultz@lipscomb.edu","47","056","47056","620L900US47056","State House District 56","LL","2024","G5220","N",41781632,0,"+36.1286463","-086.8256819"
"Mid Cumberland","Williamson County",940,"Lipscomb Elementary",60,4.70453e+11,"Michelle Contich","Public","K, 1, 2, 3, 4, 5","","Williamson","Active","8011  Concord  Road
 Brentwood, TN 37027","Brentwood","TN","37027","","615-472-4650",NA,"615-472-4661","michellec@wcs.edu","47","061","47061","620L900US47061","State House District 61","LL","2024","G5220","N",230134800,1848499,"+35.9944500","-086.8668158"
"Southwest","Memphis-Shelby County Private Schools",9792,"Little Learners Literacy Academy",9976,NA,"Shayna Wilson","Private","K","Category I - Approved by TDOE","Shelby","Active","2510 Mount Moriah Road
 Memphis, TN 38115","Memphis","TN","38115","","901-290-8903",NA,"","lillearnersliteracy@gmail.com","47","083","47083","620L900US47083","State House District 83","LL","2024","G5220","N",89102744,335745,"+35.0815848","-089.7955070"
"Mid Cumberland","Montgomery County Private Schools",9630,"Little Scholars Montessori, LLC",9085,NA,"Tiffany Ellis-Brown","Private","PK, K, 1, 2, 3, 4, 5","Category III - Approved by regional private school accrediting agency","Montgomery","Active","1844 Memorial Drive
 Clarksville, TN 37043","Clarksville","TN","37043","","931-326-4576",NA,"866-409-0889","office@littlescholarstn.com","47","068","47068","620L900US47068","State House District 68","LL","2024","G5220","N",687379698,5721936,"+36.4801881","-087.2801188"
"First Tennessee","Hamblen County Private Schools",9320,"Living Promise Academy",9942,NA,"Wendy Patoka","Private","PK, K","Category IV - Church Related Schools","Hamblen","Active","5075 Dearing Road
 Morristown, TN 37813","Morristown","TN","37813","","423-616-1692",NA,"","admin@livingpromiseacademy.com","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"Mid Cumberland","Montgomery County Private Schools",9630,"Living Word Victory Christian Academy",9764,NA,"Richard Woodson Jr.","Private","PK, K, 1, 2, 3, 4, 5, 6","Category IV - Church Related Schools","Montgomery","Active","959 Tiny Town Road
 Clarksville, TN 37042","Clarksville","TN","37042","","931-896-2192",NA,"","lwvcalions@gmail.com","47","075","47075","620L900US47075","State House District 75","LL","2024","G5220","N",602515364,5824888,"+36.5112349","-087.5046068"
"Mid Cumberland","Davidson County",190,"Lockeland Elementary",435,4.70318e+11,"Dr. Colin Hunt","Public","K, 1, 2, 3, 4, 5","","Davidson","Active","105 South 17th Street
 Nashville, TN 37206","Nashville","TN","37206","","615-258-1330",NA,"","Colin.Hunt@mnps.org","47","052","47052","620L900US47052","State House District 52","LL","2024","G5220","N",116549658,31621471,"+36.1048620","-086.6236223"
"Mid Cumberland","Williamson County",940,"Longview Elementary School",61,4.70453e+11,"Steve Branson","Public","PK, K, 1, 2, 3, 4, 5","","Williamson","Active","2929 Commonwealth Drive
 Spring Hill, TN 37174","Spring Hill","TN","37174","","615-472-5060",NA,"615-472-5071","steve.branson@wcs.edu","47","092","47092","620L900US47092","State House District 92","LL","2024","G5220","N",1093875930,1832930,"+35.4907455","-086.7770615"
"East Tennessee","Knox County",470,"Lonsdale Elementary",165,4.70222e+11,"William Smith","Public","PK, K, 1, 2, 3, 4, 5","","Knox","Active","1505 Louisiana Avenue
 Knoxville, TN 37921","Knoxville","TN","37921","","865-594-1330",NA,"865-594-1208","william.smith@knoxschools.org","47","015","47015","620L900US47015","State House District 15","LL","2024","G5220","N",75485603,3252253,"+35.9709327","-083.8938868"
"Southeast Tennessee","Hamilton County",330,"Lookout Mountain Elementary School",125,4.70159e+11,"Emily Haney","Public","K, 1, 2, 3, 4, 5","","Hamilton","Active","321  N  Bragg Avenue
 Lookout Mtn, TN 37350","Lookout Mtn","TN","37350","","423-821-6116",NA,"423-825-7384","hudson_hannah@hcde.org","47","027","47027","620L900US47027","State House District 27","LL","2024","G5220","N",466296879,6374829,"+35.2053820","-085.2612893"
"Southeast Tennessee","Hamilton County",330,"Lookout Valley Elementary School",241,4.70159e+11,"Nikki Bailey","Public","PK, K, 1, 2, 3, 4, 5","","Hamilton","Active","701 Browns  Ferry Road
 Chattanooga, TN 37419","Chattanooga","TN","37419","","423-825-7370",NA,"423-825-1463","Bailey_Nikki@hcde.org","47","027","47027","620L900US47027","State House District 27","LL","2024","G5220","N",466296879,6374829,"+35.2053820","-085.2612893"
"Southwest","Memphis-Shelby County Private Schools",9792,"Lord's Tabernacle Christian Academy",9750,NA,"Jacqueline Hammond","Private","PK, K, 1, 2, 3, 4, 5, 6","Category IV - Church Related Schools","Shelby","Active","2818 Midland Avenue
 Memphis, TN 38111","Memphis","TN","38111","","901-610-5551",NA,"","jhammond.ltcas@gmail.com","47","093","47093","620L900US47093","State House District 93","LL","2024","G5220","N",53642184,0,"+35.1596028","-089.9534558"
"East Tennessee","Loudon County",530,"Loudon Elementary",35,4.70252e+11,"Christie Amburn","Public","PS, PK, K, 1, 2, 3, 4, 5","Category I - Approved by TDOE","Loudon","Active","2175  Roberts  Road
 Loudon, TN 37774","Loudon","TN","37774","","865-458-2001",NA,"865-458-1405","amburnc@loudoncounty.org","47","021","47021","620L900US47021","State House District 21","LL","2024","G5220","N",999032698,59586112,"+35.6467104","-084.3398169"
"First Tennessee","Unicoi County",860,"Love Chapel Elementary",15,4.70423e+11,"Sara Malone","Public","K, 1, 2, 3, 4, 5","","Unicoi","Active","600 S. Mohawk Drive
 Erwin, TN 37650","Erwin","TN","37650","","423-743-1657",NA,"423-743-1662","malones@unicoischools.com","47","004","47004","620L900US47004","State House District 4","LL","2024","G5220","N",1023673000,2831965,"+36.2318532","-082.2948946"
"Southwest","Memphis-Shelby County Schools",792,"Lowrance Elementary/Middle",205,4.70015e+11,"Daphanie Swift","Public","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","","Shelby","Active","7740 Lowrance Road
 Memphis, TN 38125","Memphis","TN","38125","","901-416-2330",NA,"901-416-2315","swiftdb@scsk12.org","47","085","47085","620L900US47085","State House District 85","LL","2024","G5220","N",99769050,169473,"+35.0096518","-089.7818638"
"Southwest","Memphis-Shelby County Schools",792,"Lucie E. Campbell Elementary",2463,4.70015e+11,"Michael Gee","Public","PK, K, 1, 2, 3, 4, 5","","Shelby","Active","3232 Birchfield Dr
 Memphis, TN 38127-6923","Memphis","TN","38127-6923","","901-416-1000",NA,"901-416-1001","geemj@scsk12.org","47","096","47096","620L900US47096","State House District 96","LL","2024","G5220","N",78337772,2539267,"+35.1757231","-089.8728115"
"Southwest","Memphis-Shelby County Schools",792,"Lucy Elementary",115,4.70015e+11,"Ashley N Edwards","Public","PK, K, 1, 2, 3, 4, 5","","Shelby","Active","6269 Amherst Road
 Millington, TN 38053","Millington","TN","38053","","901-416-2610",NA,"901-416-2608","williamsa8@scsk12.org","47","086","47086","620L900US47086","State House District 86","LL","2024","G5220","N",521789730,68410759,"+35.2848704","-090.1039871"
"East Tennessee","Union County",870,"Luttrell Elementary",35,4.70429e+11,"Mr. Stacy Smith","Public","PK, K, 1, 2, 3, 4, 5","","Union","Active","241  Tazewell  Pike
 Luttrell, TN 37779","Luttrell","TN","37779","","865-992-3441",NA,"865-992-9154","smiths@ucps.org","47","036","47036","620L900US47036","State House District 36","LL","2024","G5220","N",2363820634,114428203,"+36.3981020","-083.9897140"
"South Central","Moore County",640,"Lynchburg Elementary",10,4.70306e+11,"Brooke Lindsey","Public","K, 1, 2, 3, 4, 5, 6","","Moore","Active","276 Mechanic Street North
 Lynchburg, TN 37352","Lynchburg","TN","37352","","931-759-7388",NA,"","brooke.lindsey@moorecountyschools.net","47","062","47062","620L900US47062","State House District 62","LL","2024","G5220","N",2284921585,6639989,"+35.3897957","-086.4758904"
"Southwest","Memphis-Shelby County Schools",792,"Macon-Hall Elementary",118,4.70015e+11,"Nicholas Dominquez","Public","K, 1, 2, 3, 4, 5","","Shelby","Active","9800 Macon Road
 Cordova, TN 38016","Cordova","TN","38016","9800 Macon Rd Road
 Cordova, TN 38016","901-416-2625",NA,"901-416-2626","dominguezn@scsk12.org","47","096","47096","620L900US47096","State House District 96","LL","2024","G5220","N",78337772,2539267,"+35.1757231","-089.8728115"
"Mid Cumberland","Sumner County",830,"Madison Creek Elementary",57,4.70402e+11,"Jon Duncan","Public","PK, K, 1, 2, 3, 4, 5","Category I - Approved by TDOE","Sumner","Active","1040  Madison  Creek Road
 Goodlettsville, TN 37072","Goodlettsville","TN","37072","","615-859-4991",NA,"615-859-3963","jon.duncan@sumnerschools.org","47","045","47045","620L900US47045","State House District 45","LL","2024","G5220","N",247544306,14780231,"+36.3820110","-086.6301896"
"East Tennessee","Monroe County",620,"Madisonville Primary",25,4.703e+11,"Casey Davis","Public","PK, K, 1, 2","","Monroe","Active","268  Warren  Street
 Madisonville, TN 37354","Madisonville","TN","37354","","423-442-2236",NA,"423-442-2215","davisc1@monroek12.org","47","021","47021","620L900US47021","State House District 21","LL","2024","G5220","N",999032698,59586112,"+35.6467104","-084.3398169"
"Southwest","Germantown Private Schools",9796,"Madonna Learning Center",9067,NA,"Jo Gilbert","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency","Shelby","Active","7007 Poplar Avenue
 Germantown, TN 38138","Germantown","TN","38138","","901-752-5767",NA,"901-752-5039","jgilbert@madonna-learning.org","47","083","47083","620L900US47083","State House District 83","LL","2024","G5220","N",89102744,335745,"+35.0815848","-089.7955070"
"First Tennessee","Hamblen County",320,"Manley Elementary",15,4.7e+11,"Dr. Sarah Cates","Public","PK, K, 1, 2, 3, 4, 5","","Hamblen","Active","551  West  Economy Road
 Morristown, TN 37814","Morristown","TN","37814","","423-586-7400",NA,"423-585-3766","catess@hcboe.net","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"Northwest Tennessee","Lake County",480,"Margaret Newton Elementary",15,4.70228e+11,"Briana Mann","Public","PK, K, 1, 2","","Lake","Active","819 Church Street
 Tiptonville, TN 38079","Tiptonville","TN","38079","","731-253-7253",NA,"731-253-7178","briana.mann@lcfalcons.net","47","077","47077","620L900US47077","State House District 77","LL","2024","G5220","N",2742420090,132407217,"+36.2190955","-089.3517172"
"Southwest","Memphis-Shelby County Private Schools",9792,"Margolin Hebrew Academy",9062,NA,"Rabbi Gavriel Brown","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency","Shelby","Active","390 South White Station Road
 Memphis, TN 38117","Memphis","TN","38117","","901-682-2400",NA,"","info@mhafyos.org","47","097","47097","620L900US47097","State House District 97","LL","2024","G5220","N",89970046,81370,"+35.1318526","-089.8671224"
"Southwest","Memphis-Shelby County Private Schools",9792,"Maria Montessori School",9725,NA,"Maria Schuermann-Cole","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category V - Acknowledged by TDOE for operation","Shelby","Active","740 Harbor Bend Road
 Memphis, TN 38103","Memphis","TN","38103","","901-527-3444",NA,"901-527-6273","mms1986@bellsouth.net","47","086","47086","620L900US47086","State House District 86","LL","2024","G5220","N",521789730,68410759,"+35.2848704","-090.1039871"
"Southeast Tennessee","Marion County",580,"Marion Virtual Elementary School",77,4.70264e+11,"Kim Headrick","Public Virtual School","K, 1, 2, 3, 4, 5","","Marion","Active","204 Betsy Pack Drive
 Jasper, TN 37347","Jasper","TN","37347","","423-942-3434",NA,"423-942-4210","kheadrick@mctns.net","47","039","47039","620L900US47039","State House District 39","LL","2024","G5220","N",2726614514,91531336,"+35.1304748","-085.8806394"
"Northwest Tennessee","Weakley County",920,"Martin Primary",33,4.70447e+11,"Tracey Bell","Public","P4, K, 1, 2","","Weakley","Active","215 South College Street
 Martin, TN 38237","Martin","TN","38237","","731-587-9033",NA,"731-587-6699","tracey.bell@wcsk12tn.net","47","076","47076","620L900US47076","State House District 76","LL","2024","G5220","N",3180081570,74693093,"+36.2861320","-088.5343698"
"South Central","Maury County",600,"Marvin Wright Elementary School",53,4.70276e+11,"April Hardison","Public","K, 1, 2, 3, 4","","Maury","Active","4714 Derryberry Lane
 Spring Hill, TN 37174","Spring Hill","TN","37174","","931-486-3586",NA,"931-486-3588","adhardison@mauryk12.org","47","064","47064","620L900US47064","State House District 64","LL","2024","G5220","N",677482687,3520021,"+35.5816829","-086.9593950"
"East Tennessee","Blount County",50,"Mary Blount Elementary",90,4.7003e+11,"Ryan Ferrell","Public","PK, K, 1, 2, 3, 4, 5","","Blount","Active","131 South Old Glory Road
 Maryville, TN 37801","Maryville","TN","37801","","865-980-1430",NA,"865-980-1428","Ryan.Ferrell@blountk12.org","47","020","47020","620L900US47020","State House District 20","LL","2024","G5220","N",307692224,11407469,"+35.7545814","-084.0611095"
"First Tennessee","Sullivan County",820,"Mary Hughes School",150,4.70399e+11,"Randy Gentry","Public","K, 1, 2, 3, 4, 5","","Sullivan","Active","240  Austin  Springs Road
 Piney Flats, TN 37686","Piney Flats","TN","37686","","423-354-1835",NA,"423-354-1851","randall.gentry@sullivank12.net","47","003","47003","620L900US47003","State House District 3","LL","2024","G5220","N",1736667119,48486035,"+36.4807033","-081.9369674"
"East Tennessee","Blount County Private Schools",9050,"Maryville Christian School",9060,NA,"Jeremy Wallace","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category II - Approved by private school accrediting agency, Category IV - Church Related Schools, Category III - Approved by regional private school accrediting agency","Blount","Active","2525 Morganton Road
 Maryville, TN 37801","Maryville","TN","37801","","865-681-3205",NA,"","jwallace@mcstn.org","47","020","47020","620L900US47020","State House District 20","LL","2024","G5220","N",307692224,11407469,"+35.7545814","-084.0611095"
"Mid Cumberland","Davidson County",190,"May Werthan Shayne Elementary School",608,4.70318e+11,"Brenleigh Oswanski","Public","PK, K, 1, 2, 3, 4, 5","","Davidson","Active","6217 Nolensville Road
 Nashville, TN 37211","Nashville","TN","37211","","615-332-3020",NA,"","Brenleigh.Oswanski@mnps.org","47","059","47059","620L900US47059","State House District 59","LL","2024","G5220","N",204679089,336807,"+36.0504586","-086.8514151"
"East Tennessee","Knox County",470,"Maynard Elementary",168,4.70222e+11,"Shaunna Foster","Public","PK, K, 1, 2, 3, 4, 5","","Knox","Active","737  College  Street
 Knoxville, TN 37921","Knoxville","TN","37921","","865-594-1333",NA,"865-594-1120","shaunna.foster@knoxschools.org","47","015","47015","620L900US47015","State House District 15","LL","2024","G5220","N",75485603,3252253,"+35.9709327","-083.8938868"
"East Tennessee","Union County",870,"Maynardville Elementary",40,4.70429e+11,"Lisa Carter","Public","PK, K, 1, 2, 3, 4, 5","","Union","Active","615 Main Street
 Maynardville, TN 37807","Maynardville","TN","37807","P O Box 339 Street
 Maynardville, TN 37807","865-992-8391",NA,"865-992-8392","carterl@ucps.org","47","036","47036","620L900US47036","State House District 36","LL","2024","G5220","N",2363820634,114428203,"+36.3981020","-083.9897140"
"Southeast Tennessee","Hamilton County",330,"McConnell Elementary School",51,4.70159e+11,"Ruth Pohlman","Public","K, 1, 2, 3, 4, 5","","Hamilton","Active","8629  Columbus  Road
 Hixson, TN 37343","Hixson","TN","37343","","423-843-4704",NA,"423-843-4706","pohlman_r@hcde.org","47","026","47026","620L900US47026","State House District 26","LL","2024","G5220","N",312036596,45018956,"+35.2502496","-085.1432411"
"Mid Cumberland","Rutherford County",750,"McFadden School Of Excellence",70,4.70369e+11,"Dr. Clark Blair","Public","K, 1, 2, 3, 4, 5","Category I - Approved by TDOE","Rutherford","Active","221  Bridge  Avenue
 Murfreesboro, TN 37129","Murfreesboro","TN","37129","","615-893-7251",NA,"615-898-7724","blairc@rcschools.net","47","034","47034","620L900US47034","State House District 34","LL","2024","G5220","N",262148504,154933,"+35.7476268","-086.4736726"
"Mid Cumberland","Davidson County",190,"McGavock Elementary",465,4.70318e+11,"Laura Duran","Public","PK, 1, 2, 3, 4, 5","","Davidson","Active","275  McGavock  Pike
 Nashville, TN 37214","Nashville","TN","37214","","615-885-8912",NA,"","Laura.Duran@mnps.org","47","060","47060","620L900US47060","State House District 60","LL","2024","G5220","N",108721886,12092063,"+36.1936407","-086.6264765"
"Northwest Tennessee","McKenzie",94,"McKenzie Elementary",5,4.70279e+11,"Tonya Brown","Public","PK, K, 1, 2, 3, 4","","Carroll","Active","165  Brooks  Avenue
 McKenzie, TN 38201","McKenzie","TN","38201","165 Brooks Avenue
 McKenzie, TN 38201","731-352-5272",NA,"731-352-6076","brownt10@mckenzieschools.org","47","076","47076","620L900US47076","State House District 76","LL","2024","G5220","N",3180081570,74693093,"+36.2861320","-088.5343698"
"Southwest","McNairy County",550,"McNairy County Adult Learning Center",7001,4.70288e+11,"Dr. Rachael Martin","Public","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","","McNairy","Active","535 East Poplar Avenue
 Selmer, TN 38375","Selmer","TN","38375","","731-645-7752",NA,"","martinr@mcnairy.org","47","094","47094","620L900US47094","State House District 94","LL","2024","G5220","N",3502304525,7779285,"+35.0991595","-089.3093585"
"Southwest","Memphis-Shelby County Schools",792,"Memphis Business Academy Elementary School",8207,4.70015e+11,"Noah Gordon","Public Charter","K, 1, 2, 3, 4, 5","","Shelby","Active","1082 Berclair
 Memphis, TN 38127","Memphis","TN","38127","","901-591-7267",NA,"901-358-1652","noah.gordon@mbaexecutives.org","47","097","47097","620L900US47097","State House District 97","LL","2024","G5220","N",89970046,81370,"+35.1318526","-089.8671224"
"Southwest","Memphis-Shelby County Schools",792,"Memphis Business Academy Hickory Hill Elementary School",8340,4.70015e+11,"Marsharee Shaw","Public Charter","K, 1, 2, 3, 4","","Shelby","Active","4443 S. Germantown Road
 Memphis, TN 38125","Memphis","TN","38125","","901-505-0551",NA,"901-846-7105","sylvia.gray@mbaexecutives.org","47","085","47085","620L900US47085","State House District 85","LL","2024","G5220","N",99769050,169473,"+35.0096518","-089.7818638"
"Southwest","Memphis-Shelby County Schools",792,"Memphis College Preparatory",8240,4.70015e+11,"Genesis Parker","Public Charter","K, 1, 2, 3, 4, 5","","Shelby","Active","1500 Dunn Avenue
 Memphis, TN 38106","Memphis","TN","38106","","901-620-6475",NA,"","gparker@memphiscollegeprep.org","47","091","47091","620L900US47091","State House District 91","LL","2024","G5220","N",70958141,0,"+35.0945351","-090.0107775"
"Southwest","Memphis-Shelby County Schools",792,"Memphis Delta Preparatory",8170,4.70015e+11,"Crystal Tuggle","Public Charter","K, 1, 2, 3, 4, 5","","Shelby","Active","1237 College Street
 Memphis, TN 38106","Memphis","TN","38106","","901-251-1010",NA,"","ctuggle@memphisdeltaprep.org","47","091","47091","620L900US47091","State House District 91","LL","2024","G5220","N",70958141,0,"+35.0945351","-090.0107775"
"Southwest","Memphis-Shelby County Private Schools",9792,"Memphis Heritage Christian School",9721,NA,"Tauris Nelson","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category I - Approved by TDOE","Shelby","Active","3802 Gragg Avenue
 Memphis, TN 38108","Memphis","TN","38108","","901-377-7536",NA,"901-377-7244","tnelson@thesaintsheritage.org","47","093","47093","620L900US47093","State House District 93","LL","2024","G5220","N",53642184,0,"+35.1596028","-089.9534558"
"Southwest","Memphis-Shelby County Private Schools",9792,"Memphis Junior Academy",9250,NA,"Kanther Khan","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","Category II - Approved by private school accrediting agency","Shelby","Active","50 N Mendenhall Road
 Memphis, TN 38117","Memphis","TN","38117","","901-683-1061",NA,"901-683-1012","kkhan@kytn.net","47","097","47097","620L900US47097","State House District 97","LL","2024","G5220","N",89970046,81370,"+35.1318526","-089.8671224"
"Southwest","Memphis-Shelby County Schools",792,"Memphis Merit Academy",8380,4.70015e+11,"Jacqueline Brown-Lewis","Public Charter","K, 1, 2, 3, 4, 5, 6, 7, 8","","Shelby","Active","4775 American Way
 Memphis, TN 38118","Memphis","TN","38118","4775 American Way
 Memphis, TN 38118","901-617-3690",NA,"901-617-3691","jlewis@memphismeritacademy.org","47","087","47087","620L900US47087","State House District 87","LL","2024","G5220","N",61929296,0,"+35.0590335","-089.9644571"
"Southwest","Memphis-Shelby County Private Schools",9792,"Memphis Performing Arts & Creative Academy (MPAC Academy)",9940,NA,"Loretta Anderson-Webber","Private","K, 1, 2, 3, 4, 5","Category I - Approved by TDOE","Shelby","Active","6120 Winchester Road
 Memphis, TN 38115","Memphis","TN","38115","","901-205-9203",NA,"","lawebber@mpacacademy.org","47","084","47084","620L900US47084","State House District 84","LL","2024","G5220","N",83636413,185510,"+35.0290433","-089.9034182"
"Southwest","Memphis-Shelby County Private Schools",9792,"Memphis Performing Arts & Creative Academy Southeast",9990,NA,"Cecily Shelton","Private","K, 1, 2, 3, 4, 5, 6, 7, 8","Category I - Approved by TDOE","Shelby","Active","8146 E Shelby Drive
 Memphis, TN 38125","Memphis","TN","38125","","901-205-9203",NA,"","cecily.shelton@mpacacademy.org","47","085","47085","620L900US47085","State House District 85","LL","2024","G5220","N",99769050,169473,"+35.0096518","-089.7818638"
"Southwest","Memphis-Shelby County Schools",792,"Memphis School of Excellence Elementary",8310,4.70015e+11,"Relista Ward","Public Charter","K, 1, 2, 3, 4, 5","","Shelby","Active","4450 S Mendenhall Road Memphis, TN 38141","Memphis","TN","38141","","901-367-7814",NA,"901-367-7816","rward@sememphis.org","47","084","47084","620L900US47084","State House District 84","LL","2024","G5220","N",83636413,185510,"+35.0290433","-089.9034182"
"Southwest","Memphis-Shelby County Schools",792,"Memphis School of Excellence Elementary Cordova",8303,4.70015e+11,"Metin Caliskan","Public Charter","K, 1, 2, 3, 4, 5","","Shelby","Active","8350 Macon Road
 Cordova, TN 38018","Cordova","TN","38018","8360 Macon Road
 Cordova, TN 38018","901-707-8146",NA,"901-367-7816","mcaliskan@sememphis.org","47","096","47096","620L900US47096","State House District 96","LL","2024","G5220","N",78337772,2539267,"+35.1757231","-089.8728115"
"Southwest","Memphis-Shelby County Schools",792,"Memphis STEM Academy",8165,4.70015e+11,"Tamira Magee","Public Charter","K, 1, 2, 3, 4, 5","","Shelby","Active","2180 Frayser Boulevard
 Memphis, TN 38127","Memphis","TN","38127","2450 Frayser Boulevard
 Memphis, TN 38127","901-708-3001",NA,"901-308-1430","tamira.magee@mbaexecutives.org","47","088","47088","620L900US47088","State House District 88","LL","2024","G5220","N",90890633,552844,"+35.2388640","-089.8872603"
"Mid Cumberland","Sumner County",830,"Merrol Hyde Magnet School",53,4.70402e+11,"Darren Frank","Public","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category I - Approved by TDOE","Sumner","Active","128  Township  Drive
 Hendersonville, TN 37075","Hendersonville","TN","37075","","615-264-6543",NA,"615-264-6546","darren.frank@sumnerschools.org","47","045","47045","620L900US47045","State House District 45","LL","2024","G5220","N",247544306,14780231,"+36.3820110","-086.6301896"
"Mid Cumberland","Davidson County Private Schools",9190,"Metro Christian Academy",9140,NA,"Phil Martin","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category II - Approved by private school accrediting agency","Davidson","Active","730 Neelys Bend Road
 Madison, TN 37115","Madison","TN","37115","730 Neelys Bend Road
 Madison, TN 37115","615-868-6674",NA,"615-868-2116","questions@mcaeagles.com","47","051","47051","620L900US47051","State House District 51","LL","2024","G5220","N",88776494,3636545,"+36.2050905","-086.7086628"
"Southeast Tennessee","Bradley County",60,"Michigan Avenue Elementary School",50,4.70033e+11,"Ada Ruth Panni","Public","P3, P4, K, 1, 2, 3, 4, 5","","Bradley","Active","188 Michigan Ave School Road
 Cleveland, TN 37323","Cleveland","TN","37323","188 Michigan Ave. School Road
 Cleveland, TN 37323","423-478-8807",NA,"423-478-8856","apanni@bradleyschools.org","47","024","47024","620L900US47024","State House District 24","LL","2024","G5220","N",228099043,137071,"+35.1738860","-084.9082038"
"Mid Cumberland","Murfreesboro Private Schools",9751,"Middle Tennessee Christian School",9025,NA,"Matt Tiller","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency","Rutherford","Active","100 East MTCS Road
 Murfreesboro, TN 37129","Murfreesboro","TN","37129","","615-893-0601",NA,"615-962-9403","Natalietribble@mtcscougars.org","47","048","47048","620L900US47048","State House District 48","LL","2024","G5220","N",686110547,224557,"+35.8125196","-086.2934783"
