Region,District,District No.,School Name,School No.,NCES School No.,Principal,School Type,Grade Level,Categories,County,Status,address,Address 1 City,Address 1 State,Address 1 Zipcode,Address 2 Composite,Phone 1,Phone 2,Fax 1,Email Address
Southwest,Memphis-Shelby County Schools,00792,Memphis School of Excellence Elementary Cordova,8303,4.70015E+11,Metin Caliskan,Public Charter,"K, 1, 2, 3, 4, 5",,Shelby,Active,"8350 Macon Road
 Cordova, TN 38018",Cordova,TN,38018,"8360 Macon Road
 Cordova, TN 38018",901-707-8146,,901-367-7816,mcaliskan@sememphis.org
Southwest,Memphis-Shelby County Schools,00792,Memphis STEM Academy,8165,4.70015E+11,Tamira Magee,Public Charter,"K, 1, 2, 3, 4, 5",,Shelby,Active,"2180 Frayser Boulevard
 Memphis, TN 38127",Memphis,TN,38127,"2450 Frayser Boulevard
 Memphis, TN 38127",901-708-3001,,901-308-1430,tamira.magee@mbaexecutives.org
Mid Cumberland,Sumner County,00830,Merrol Hyde Magnet School,0053,4.70402E+11,Darren Frank,Public,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category I - Approved by TDOE,Sumner,Active,"128  Township  Drive
 Hendersonville, TN 37075",Hendersonville,TN,37075,,615-264-6543,,615-264-6546,darren.frank@sumnerschools.org
Mid Cumberland,Davidson County Private Schools,09190,Metro Christian Academy,9140,,Phil Martin,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category II - Approved by private school accrediting agency",Davidson,Active,"730 Neelys Bend Road
 Madison, TN 37115",Madison,TN,37115,"730 Neelys Bend Road
 Madison, TN 37115",615-868-6674,,615-868-2116,questions@mcaeagles.com
Southeast Tennessee,Bradley County,00060,Michigan Avenue Elementary School,0050,4.70033E+11,Ada Ruth Panni,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Bradley,Active,"188 Michigan Ave School Road
 Cleveland, TN 37323",Cleveland,TN,37323,"188 Michigan Ave. School Road
 Cleveland, TN 37323",423-478-8807,,423-478-8856,apanni@bradleyschools.org
Mid Cumberland,Murfreesboro Private Schools,09751,Middle Tennessee Christian School,9025,,Matt Tiller,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Rutherford,Active,"100 East MTCS Road
 Murfreesboro, TN 37129",Murfreesboro,TN,37129,,615-893-0601,,615-962-9403,Natalietribble@mtcscougars.org
East Tennessee,Blount County,00050,Middlesettlements,0093,4.7003E+11,Suzanne Graves,Public,"PK, K, 1, 2, 3, 4, 5",,Blount,Active,"3105  Miser  Station Road
 Louisville, TN 37777",Louisville,TN,37777,,865-983-6644,,865-982-6137,Suzanne.Graves@blountk12.org
Southwest,Collierville Private Schools,09795,Mid-South Gifted Academy,9727,,Jessica White,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency, Category II - Approved by private school accrediting agency",Shelby,Active,"121 East South Street
 Collierville, TN 38017",Collierville,TN,38017,,901-430-0290,,,admin@midsouthgiftedacademy.com
Southwest,Memphis-Shelby County Private Schools,09792,Midsouth Montessori Center,9150,,Santina Campbell,Private,"PK, K",Category V - Acknowledged by TDOE for operation,Shelby,Active,"2755 Appling Road
 Memphis, TN 38133",Memphis,TN,38133,"2755 Appling Road
 Memphis, TN 38133",901-584-8475,,,santina@midsouthmontessoricenter.org
East Tennessee,Roane County,00730,Midtown Elementary,0045,4.70359E+11,Tiffany Jameson,Public,"K, 1, 2, 3, 4, 5",,Roane,Active,"2830  Roane  State Highway
 Harriman, TN 37748",Harriman,TN,37748,,865-882-1228,,865-882-8165,tjameson@roaneschools.com
Southwest,Memphis-Shelby County Private Schools,09792,Midtown Montessori School,9718,,Faiqa Khan,Private,"PK, K, 1, 2, 3, 4, 5, 6",Category V - Acknowledged by TDOE for operation,Shelby,Active,"1738 Galloway Avenue
 Memphis, TN 38112",Memphis,TN,38112,,901-417-4610,,901-284-0222,info@memphismontessori.org
East Tennessee,Claiborne County,00130,Midway Elementary,0090,4.70063E+11,Jackie Massengill,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Claiborne,Active,"4411  Clouds  Road
 New Tazewell, TN 37825",New Tazewell,TN,37825,,423-626-3067,,423-626-1864,jackie.massengill@claibornecsd.org
Northwest Tennessee,Milan,00272,Milan Elementary,0025,4.70297E+11,Tammy Rushing,Public,"PK, K, 1, 2, 3, 4",,Gibson,Active,"1100  Middle  Road
 Milan, TN 38358",Milan,TN,38358,,731-686-0840,,731-686-3282,rushingt@milanssd.org
First Tennessee,Sullivan County,00820,Miller Perry Elementary,0155,4.70399E+11,Mike Wilson,Public,"K, 1, 2, 3, 4, 5",,Sullivan,Active,"904  Fordtown  Road
 Kingsport, TN 37663",Kingsport,TN,37663,,423-354-1760,,423-354-1766,michael.wilson@sullivank12.net
Mid Cumberland,Sumner County,00830,Millersville Elementary,0060,4.70402E+11,Tracey Carson,Public,"K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Sumner,Active,"1248  Louisville  Highway
 Goodlettsville, TN 37072",Goodlettsville,TN,37072,,615-859-1439,,615-859-5224,tracey.carson@sumnerschools.org
Southwest,Millington Municipal Schools,00798,Millington Primary School,0123,4.70015E+11,Natasha Perkins,Public,"K, 1, 2, 3",,Shelby,Active,"6445 William Osteen Drive
 Millington, TN 38053",Millington,TN,38053,,901-873-8433,,901-873-8439,nperkins@millingtonschools.org
Mid Cumberland,Montgomery County,00630,Minglewood Elementary,0051,4.70303E+11,Emily Clark,Public,"PK, K, 1, 2, 3, 4, 5",,Montgomery,Active,"215 Cunningham Lane
 Clarksville, TN 37042-5389",Clarksville,TN,37042-5389,,931-648-5646,,931-503-3402,emily.clark@cmcss.net
South Central,Giles County,00280,Minor Hill School,0065,4.70141E+11,Lance Evans,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category I - Approved by TDOE,Giles,Active,"13099 Minor Hill Highway
 Minor Hill, TN 38473",Minor Hill,TN,38473,"13099 Minor Hill Highway
 Minor Hill, TN 38473",931-347-0163,,,levans@gcboe.us
Southeast Tennessee,Polk County Private Schools,09700,Miracle of Salvation Christian School,9720,,"Edith Blair, Heather Sanders",Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Polk,Active,"443 Clemmer Ferry Road
 Benton, TN 37307",Benton,TN,37307,,423-790-8486,,,heather.sanders02@yahoo.com
Southeast Tennessee,Hamilton County Private Schools,09330,Mission Montessori School,9941,,Jenny Varner,Private,"PK, K",Category IV - Church Related Schools,Hamilton,Active,"4519 Brainerd Road
 Chattanooga, TN 37411",Chattanooga,TN,37411,,423-645-4389,,,ed@mmstn.org
Mid Cumberland,Murfreesboro,00751,Mitchell-Neilson Elementary,0025,4.70315E+11,Mr. Adam Bryson,Public,"PK, K, 1, 2, 3, 4, 5, 6",,Rutherford,Active,"711  Clark  Boulevard
 Murfreesboro, TN 37129",Murfreesboro,TN,37129,,615-890-7841,,615-904-2416,adam.bryson@cityschools.net
Mid Cumberland,Davidson County Private Schools,09190,Montessori Centre,9430,,Jen Cullison,Private,"PK, K",Category I - Approved by TDOE,Davidson,Active,"4608 Granny White Pike
 Nashville, TN 37220",Nashville,TN,37220,,615-373-0897,,615-373-0892,jen@montessoricentre.org
Mid Cumberland,Davidson County Private Schools,09190,Montessori East,9006,,Brooks Gerber,Private,"K, 1, 2, 3, 4, 5, 6",Category V - Acknowledged by TDOE for operation,Davidson,Active,"801 Porter Road
 Nashville, TN 37206",Nashville,TN,37206,,615-226-4588,,775-659-1665,brooks@monteastnash.com
Southeast Tennessee,Hamilton County,00330,Montessori Elementary at Highland Park,8142,4.70159E+11,Lawonda Reeves,Public Charter,"PK, K, 1, 2, 3, 4, 5",,Hamilton,Active,"700 S. Hawthorne Street
 Chattanooga, TN 37404",Chattanooga,TN,37404,,423-702-7230,,,lawondareeves@cglaonline.com
East Tennessee,Knox County Private Schools,09470,Montessori Internationale School,9150,,Amanda Swiger,Private,"PK, K",Category V - Acknowledged by TDOE for operation,Knox,Active,"10019 S Northshore Drive
 Knoxville, TN 37922",Knoxville,TN,37922,,865-675-0545,,,info@montessoriinternationale.com
Mid Cumberland,Montgomery County,00630,Montgomery Central Elementary,0020,4.70303E+11,Emily Vaughn,Public,"P4, K, 1, 2, 3, 4, 5",,Montgomery,Active,"4011 Highway 48
 Cunningham, TN 37052-5020",Cunningham,TN,37052-5020,,931-387-3208,,931-387-2565,emily.vaughn@cmcss.net
East Tennessee,Blount County,00050,Montvale Elementary,0094,4.7003E+11,Nichole McCord,Public,"K, 1, 2, 3, 4, 5",,Blount,Active,"3128  Montvale  Road
 Maryville, TN 37803",Maryville,TN,37803,,865-983-2666,,865-977-0240,Nichole.McCord@blountk12.org
Mid Cumberland,Franklin SSD,00941,Moore Elementary,0030,4.70126E+11,"Amanda Muniz, Ed.D.",Public,"PK, K, 1, 2, 3, 4",,Williamson,Active,"1061  Lewisburg  Pike
 Franklin, TN 37064",Franklin,TN,37064,,615-790-4700,,615-790-4748,munizama@fssd.org
Mid Cumberland,Montgomery County,00630,Moore Magnet Elementary,0055,4.70303E+11,Kelsea Cox,Public,"P4, K, 1, 2, 3, 4, 5",,Montgomery,Active,"1350 Madison Street
 Clarksville, TN 37040-3870",Clarksville,TN,37040-3870,,931-648-5635,,931-503-3404,kelsea.cox@cmcss.net
East Tennessee,Knox County,00470,Mooreland Heights Elementary,0172,4.70222E+11,Josh Van Pelt,Public,"PK, K, 1, 2, 3, 4, 5",,Knox,Active,"5315  Magazine  Road
 Knoxville, TN 37920",Knoxville,TN,37920,,865-579-2105,,865-579-2189,kevin.vanpelt@knoxschools.org
Upper Cumberland,Warren County,00890,Morrison Elementary,0050,4.70435E+11,Kim Cantrell,Public,"P3, P4, K, 1, 2, 3, 4, 5, 6, 7, 8",Category I - Approved by TDOE,Warren,Active,"500 S Fair Street
 Morrison, TN 37357",Morrison,TN,37357,,931-259-4617,,931-635-3233,cantrellk@warrenschools.com
First Tennessee,Hamblen County Private Schools,09320,Morristown Covenant Academy,9060,,Angel Leon,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Hamblen,Active,"503 South Jackson Street
 Morristown, TN 37813",Morristown,TN,37813,"P O Box 1737 Street
 Morristown, TN 37816",423-587-3247,,423-586-6269,mca@mcovenantacademy.net
First Tennessee,Greene County,00300,Mosheim Elementary,0060,4.70147E+11,Sarah Gray,Public,"PK, K, 1, 2, 3, 4, 5",,Greene,Active,"297  West  School Street
 Mosheim, TN 37818",Mosheim,TN,37818,,423-422-4123,,423-422-7547,Sarah.Gray@gcstn.org
First Tennessee,Johnson County,00460,Mountain City Elementary,0025,4.70216E+11,Christi Gentry,Public,"PK, K, 1, 2, 3, 4, 5, 6",,Johnson,Active,"301  Donnelly  Street
 Mountain City, TN 37683",Mountain City,TN,37683,,423-727-2621,,423-727-2631,cgentry@jocoed.net
First Tennessee,Johnson City,00901,Mountain View Elementary,0037,4.70213E+11,Chelsea Lee,Public,"PK, K, 1, 2, 3, 4, 5",,Washington,Active,"907  King  Springs Road
 Johnson City, TN 37601",Johnson City,TN,37601,,423-434-5260,,423-434-5596,chelsea.lee@tneducation.net
First Tennessee,Hawkins County,00370,Mt Carmel Elementary,0055,4.70174E+11,Amy Glass,Public,"PK, K, 1, 2, 3, 4",Category I - Approved by TDOE,Hawkins,Active,"127  Cherry  Street
 Mt Carmel, TN 37645",Mt Carmel,TN,37645,,423-357-7221,,423-357-9863,amy.glass@hck12.net
Mid Cumberland,Wilson County,00950,Mt. Juliet Elementary,0035,4.70455E+11,ANGELA KINCAID,Public,"P4, K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Wilson,Active,"2521 W. Division Street
 Mt Juliet, TN 37122",Mt Juliet,TN,37122,,615-758-5654,,615-758-5602,kincaida@wcschools.com
Southwest,Tipton County,00840,Munford Elementary,0045,4.70408E+11,Dr Farrah Fite Cope,Public,"P4, K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Tipton,Active,"1200  McLaughlin  Drive
 Munford, TN 38058",Munford,TN,38058,,901-837-5761,,901-837-5778,fcope@tipton-county.com
Mid Cumberland,Davidson County,00190,Murrell at Glenn School,0505,4.70318E+11,Susan Siegel,Public,"K, 1, 2, 3, 4, 5, 6, 7, 8",,Davidson,Active,"322 Cleveland Street
 Nashville, TN 37207",Nashville,TN,37207,,615-298-8070,,,Susan.Siegel@mnps.org
Mid Cumberland,Sumner County,00830,Nannie Berry Elementary,0065,4.70402E+11,Susan Kolmer,Public,"PK, K, 1, 2, 3, 4, 5",,Sumner,Active,"138 Indian Lake Road
 Hendersonville, TN 37075",Hendersonville,TN,37075,,615-822-3123,,615-264-6009,susan.kolmer@sumnerschools.org
Mid Cumberland,Davidson County,00190,Napier Elementary,0510,4.70318E+11,Keenan Robinson,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"70 Donelson Street
 Nashville, TN 37210",Nashville,TN,37210,,615-291-6400,,,keenan.robinson@mnps.org
Mid Cumberland,Davidson County Private Schools,09190,Nashville Christian School,9155,,Connie Shelton,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Davidson,Active,"7555 Sawyer Brown Road
 Nashville, TN 37221",Nashville,TN,37221,"7555 Sawyer Brown Road
 Nashville, TN 37221",615-356-5600,,615-352-1324,info@nashvillechristian.org
Mid Cumberland,Davidson County Private Schools,09190,Nashville Christian School: Charlotte Pike,9907,,Connie Jo Shelton,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Davidson,Active,"7565 Charlotte Pike
 Nashville, TN 37209",Nashville,TN,37209,,615-356-5600,,,sheltonc@nashvillechristian.org
Mid Cumberland,Davidson County,00190,Nashville Classical East,8044,4.70318E+11,Caitlin Talley,Public Charter,"K, 1, 2, 3, 4, 5, 6, 7, 8",,Davidson,Active,"2000 Greenwood Avenue
 Nashville, TN 37206",Nashville,TN,37206,,615-538-5841,,,ctalley@nashvilleclassical.org
Mid Cumberland,Davidson County,00190,Nashville Classical West,8043,4.70318E+11,Alexandra Lambert,Public Charter,"K, 1, 2",,Davidson,Active,"1015 Davidson Drive
 Nashville, TN 37207",Nashville,TN,37207,,615-538-5841,,615-534-8755,West@nashvilleclassical.org
Mid Cumberland,Tennessee Public Charter School Commission,00987,Nashville Collegiate Prep,8030,4.70016E+11,Teresa Brown,Public Charter,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,Davidson,Active,"1638 Bell Road
 Nashville, TN 37211",Nashville,TN,37211,,615-747-6059,,,NCPPrincipal@nashvillecollegiate.org
Mid Cumberland,Davidson County Private Schools,09190,Nashville International Academy,9222,,Rashid Abdus-Salaam,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Davidson,Active,"7335 Charlotte Pike
 Nashville, TN 37209",Nashville,TN,37209,,615-352-5903,,,rabdus.salaam@niatn.org
East Tennessee,Knox County Private Schools,09470,Nature's Way Montessori School,9300,,Amber Engel,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category V - Acknowledged by TDOE for operation,Knox,Active,"4710 Murphy Road
 Knoxville, TN 37918",Knoxville,TN,37918,,865-689-8976,,,amber.engel@natureswaymontessori.com
East Tennessee,Claiborne County Private Schools,09130,New Beginning Christian Academy,9700,,Pastor Donnie Bannister,Private,"PK, K, 1, 2",Category IV - Church Related Schools,Claiborne,Active,"2305 Highway 63
 Arthur, TN 37707",Arthur,TN,37707,,423-869-7378,,,nbbcintn@hotmail.com
Southwest,Lauderdale Private Schools,09490,New Beginnings Christian Center,9070,,"Cyronose D. Spicer, Sr.",Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Lauderdale,Active,"313 South Washington Street
 Ripley, TN 38063",Ripley,TN,38063,,731-635-8480,,,cdspicer11@gmail.com
Southwest,Hardin County Private Schools,09360,New Beginnings Homeschool Christian Academy,9030,,Whitney Bullington,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Hardin,Active,"430 Wayne Rd
 Savannah, TN 38372",Savannah,TN,38372,,731-925-6464,,,whitbull2013@gmail.com
East Tennessee,Sevier County,00780,New Center Elementary,0035,4.70378E+11,Dr. Dustin Huffaker,Public,"PK, K, 1, 2, 3, 4, 5, 6",,Sevier,Active,"2701 Old  Newport Highway
 Sevierville, TN 37876",Sevierville,TN,37876,,865-453-2123,,865-453-7321,dustinhuffaker@sevier.org
Upper Cumberland,Putnam County Private Schools,09710,New Colossus Academy-Cookeville,9829,,Daniel Bailey,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Putnam,Active,"327 West Stevens Street
 Cookeville, TN 38501",Cookeville,TN,38501,,931-644-7775,,,headofschools@newcolossusacademy.org
Mid Cumberland,Williamson County Private Schools,09940,New Hope Academy,9056,,Tonja Williams,Private,"PK, K, 1, 2, 3, 4, 5, 6",Category III - Approved by regional private school accrediting agency,Williamson,Active,"1820 Downs Boulevard
 Franklin, TN 37064",Franklin,TN,37064,,615-595-0324,,,cwilson@nhafranklin.org
Southwest,Memphis-Shelby County Private Schools,09792,New Hope Christian Academy,9071,,Lashaunda Terry,Private,"PK, K, 1, 2, 3, 4, 5, 6",Category III - Approved by regional private school accrediting agency,Shelby,Active,"3000 University Street
 Memphis, TN 38127",Memphis,TN,38127,,901-358-3183,,,lterry@newhopememphis.org
Upper Cumberland,Smith County,00800,New Middleton Elementary,0035,4.70387E+11,Shawn Frye,Public,"PK, K, 1, 2",,Smith,Active,"402 New Middleton Highway
 Gordonsville, TN 38563",Gordonsville,TN,38563,,615-683-8411,,615-683-8422,Fryes1@smithcoedu.net
East Tennessee,Jefferson County Private Schools,09450,New Vision Christian School,9748,,Tony Collins,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Jefferson,Active,"3203 School Street
 White Pine, TN 37890",White Pine,TN,37890,,865-761-0566,,,NVCSchool@yahoo.com
Northwest Tennessee,Dyer County,00230,Newbern Elementary School,0035,4.70105E+11,Kevin Hill,Public,"PK, K, 1, 2, 3, 4, 5",,Dyer,Active,"401 North York Street
 Newbern, TN 38059",Newbern,TN,38059,"320 Washington Street
 Newbern, TN 38059",731-627-2139,,731-627-9610,khill@dyercs.net
Southwest,Memphis-Shelby County Schools,00792,Newberry Elementary,2525,4.70015E+11,Dinah Taylor,Public,"K, 1, 2, 3, 4, 5",,Shelby,Active,"5540 Newberry Ave
 Memphis, TN 38115-3521",Memphis,TN,38115-3521,,901-416-2518,,901-416-8184,taylordc@scsk12.org
First Tennessee,Newport,00151,Newport Grammar School,0005,4.70321E+11,Dustin Morrow,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Cocke,Active,"301  College  Street
 Newport, TN 37821",Newport,TN,37821,,423-623-3811,,423-623-4599,dustin.morrow@newportgrammar.org
Mid Cumberland,Davidson County Private Schools,09190,NIA House Montessori,9725,,Sonceria Radford,Private,"P4, PK, K, 1, 2, 3, 4",Category V - Acknowledged by TDOE for operation,Davidson,Active,"620 North 1st Street
 Nashville, TN 37207",Nashville,TN,37207,,615-913-4774,,,sonceria.radford@niahousemontessori.com
Southwest,Bartlett Private Schools,09794,Nicholas Hobbs Academy,9120,,Anne Cannon,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category I-SP - Special purpose schools,Shelby,Active,"7526 Memphis Arlington Road
 Bartlett, TN 38135",Bartlett,TN,38135,,901-252-7749,,901-252-7793,anne.cannon@youthvillages.org
Southeast Tennessee,McMinn County,00540,Niota Elementary,0055,4.70282E+11,David McDonald,Public,"P3, P4, K, 1, 2, 3, 4, 5, 6, 7, 8",,McMinn,Active,"418  Burn  Road
 Niota, TN 37826",Niota,TN,37826,,423-568-2247,,423-568-2887,dmcdonald@mcminnschools.com
Southeast Tennessee,Hamilton County,00330,Nolan Elementary School,0149,4.70159E+11,Ashley Aldridge Wilson,Public,"K, 1, 2, 3, 4, 5",,Hamilton,Active,"4435 Shackleford  Ridge Road
 Signal Mountain, TN 37377",Signal Mountain,TN,37377,,423-886-0898,,423-886-0897,Wilson_Ashley@hcde.org
Mid Cumberland,Williamson County,00940,Nolensville Elementary,0065,4.70453E+11,Kim Steinle,Public,"K, 1, 2, 3, 4, 5",,Williamson,Active,"2338 Rocky Fork Road
 Nolensville, TN 37135",Nolensville,TN,37135,,615-472-4690,,615-472-4701,kimberly.steinle@wcs.edu
Southeast Tennessee,Hamilton County,00330,Normal Park Museum Magnet School,0041,4.70159E+11,Dr. Jamelie Johns,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Hamilton,Active,"1219 West Mississippi Avenue
 Chattanooga, TN 37405",Chattanooga,TN,37405,"1009 Mississippi Avenue
 Chattanooga, TN 37405",423-498-6880,,423-209-5901,Johns_Jamelie@hcde.org
Mid Cumberland,Davidson County,00190,Norman Binkley Elementary,0525,4.70318E+11,James Urquhart,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"4700 West Longdale Drive
 Nashville, TN 37211",Nashville,TN,37211,,615-333-5037,,,james.urquhart@mnps.org
Mid Cumberland,Montgomery County,00630,Norman Smith Elementary,0060,4.70303E+11,Amy Williams,Public,"P4, K, 1, 2, 3, 4, 5",,Montgomery,Active,"740 Greenwood Avenue
 Clarksville, TN 37040-4066",Clarksville,TN,37040-4066,,931-648-5660,,931-503-3405,amy.williams@cmcss.net
East Tennessee,Clinton,00011,North Clinton Elementary,0010,4.70072E+11,Abbey Kidwell,Public,"PK, K, 1, 2, 3, 4, 5",,Anderson,Active,"305  Beets  Street
 Clinton, TN 37716",Clinton,TN,37716,,865-457-2784,,865-457-1193,kidwella@clintonschools.org
South Central,Coffee County,00160,North Coffee Elementary,0040,4.70078E+11,Adam Clark,Public,"PK, K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Coffee,Active,"6790 Murfreesboro Highway
 Manchester, TN 37355",Manchester,TN,37355,,931-723-5183,,,clarka@k12coffee.net
Southeast Tennessee,Grundy County,00310,North Elementary,0035,4.70153E+11,Dr. Jennifer Partin,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Grundy,Active,"309 Main Street
 Altamont, TN 37301",Altamont,TN,37301,"Box 7 56 Street
 Altamont, TN 37301",931-692-3710,,931-692-2664,jpartin@grundyk12.com
Southeast Tennessee,Hamilton County,00330,North Hamilton County Elementary School,0147,4.70159E+11,Jacqueline Hauth,Public,"K, 1, 2, 3, 4, 5",,Hamilton,Active,"601  Industrial  Boulevard
 Sale Creek, TN 37373",Sale Creek,TN,37373,,423-332-8848,,423-332-8850,hauth_jacquie@hcde.org
South Central,Franklin County,00260,North Lake Elementary,0082,4.70129E+11,Sherry Sells,Public,"PK, K, 1, 2, 3, 4, 5",,Franklin,Active,"10626  Old  Tullahoma Road
 Tullahoma, TN 37388",Tullahoma,TN,37388,,931-455-6239,,,sherry.sells@fcstn.net
Mid Cumberland,Sumner County,00830,North Sumner Elementary,0075,4.70402E+11,Christopher Freeman,Public,"K, 1, 2, 3, 4, 5",,Sumner,Active,"1485 North Sumner Road
 Bethpage, TN 37022",Bethpage,TN,37022,,615-888-2281,,615-888-3560,christopher.freeman@sumnerschools.org
Mid Cumberland,Montgomery County,00630,Northeast Elementary,0066,4.70303E+11,Nabraunda Jackson,Public,"P4, K, 1, 2, 3, 4, 5",,Montgomery,Active,"3705 Trenton Road
 Clarksville, TN 37040-5611",Clarksville,TN,37040-5611,,931-648-5662,,931-553-6986,nabraunda.jackson@cmcss.net
Upper Cumberland,Putnam County,00710,Northeast Elementary,0057,4.70348E+11,Dr. Melissa Palk,Public,"P4, K, 1, 2, 3, 4",,Putnam,Active,"575 N Old  Kentucky Road
 Cookeville, TN 38501",Cookeville,TN,38501,,931-526-2978,,931-372-0385,mpalk@pcsstn.com
Mid Cumberland,Murfreesboro,00751,Northfield Elementary,0032,4.70315E+11,,Public,"PK, K, 1, 2, 3, 4, 5, 6",,Rutherford,Active,"550  W  Northfield Boulevard
 Murfreesboro, TN 37129",Murfreesboro,TN,37129,,615-895-7324,,615-898-7158,
East Tennessee,Knox County,00470,Northshore Elementary School,0336,4.70222E+11,Kimberly Harris,Public,"PK, K, 1, 2, 3, 4, 5",,Knox,Active,"1889 Thunderhead Road
 Knoxville, TN 37922",Knoxville,TN,37922,,865-670-4104,,,kimberly.harris@knoxschools.org
Southwest,Hardin County,00360,Northside Elementary,0021,4.70168E+11,Rachel Morris,Public,"PK, K, 1, 2, 3, 4, 5",,Hardin,Active,"1450 East Main Street
 Savannah, TN 38372",Savannah,TN,38372,,731-926-4520,,,rachel.morris@hctnschools.com
East Tennessee,Sevier County,00780,Northview Primary,0032,4.70378E+11,Kevin Debow,Public,"PK, K, 1, 2, 3",,Sevier,Active,"3293  Douglas  Dam Road
 Kodak, TN 37764",Kodak,TN,37764,,865-933-2415,,865-932-4322,kevindebow@sevier.org
East Tennessee,Anderson County,00010,Norwood Elementary,0080,4.70009E+11,Lyndsay Foust,Public,"PK, K, 1, 2, 3, 4, 5",,Anderson,Active,"809 Tri- County Boulevard
 Oliver Springs, TN 37840",Oliver Springs,TN,37840,,865-435-2519,,865-435-2758,lfoust@acs.ac
East Tennessee,Knox County,00470,Norwood Elementary,0177,4.70222E+11,Robyn Ellis,Public,"PK, K, 1, 2, 3, 4, 5",,Knox,Active,"1909 Merchant Drive
 Knoxville, TN 37912",Knoxville,TN,37912,,865-689-1460,,865-689-9140,robyn.ellis@knoxschools.org
Southwest,Bartlett,00794,Oak Elementary,0150,4.70015E+11,Stephanie Beach,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"3573 Oak Road
 Bartlett, TN 38134",Bartlett,TN,38134,,901-373-2646,,901-373-1415,sbeach@bartlettschools.org
Southwest,Memphis-Shelby County Schools,00792,Oak Forest Elementary,2692,4.70015E+11,LaShinda Hughes,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"7440 Nonconnah View Cv
 Memphis, TN 38119-9024",Memphis,TN,38119-9024,,901-416-2257,,901-416-2264,thompsonl2@scsk12.org
South Central,Marshall County,00590,Oak Grove Elementary,0051,4.70267E+11,Dr. Tracy Kilpatrick,Public,"PK, K, 1",,Marshall,Active,"1645 Franklin Pike
 Lewisburg, TN 37091",Lewisburg,TN,37091,,931-270-0892,,931-270-8052,tracy.kilpatrick@mcstn.net
Mid Cumberland,Davidson County Private Schools,09190,Oak Hill School,9160,,Mr. Hart Roper,Private,"PK, K, 1, 2, 3, 4, 5, 6",,Davidson,Active,"4815 Franklin Road
 Nashville, TN 37220-1198",Nashville,TN,37220-1198,"4815 Frnaklin Road
 Nashville, TN 37220-1198",615-297-6544,,,roperh@oakhillschool.org
Mid Cumberland,Williamson County,00940,Oak View Elem School,0068,4.70453E+11,Ms. Amy Stephenson,Public,"PK, K, 1, 2, 3, 4, 5",,Williamson,Active,"2390  Henpeck  Lane
 Franklin, TN 37064",Franklin,TN,37064,,615-472-4710,,615-472-4722,amy.stephenson@wcs.edu
